area,bedrooms,bathrooms,stories,parking,age,price
2423,6,3,2,0,13,12556725
1323,4,2,3,0,1,7793631
959,3,3,3,3,4,6121559
4851,4,5,2,1,5,23762304
3633,5,2,4,1,7,18582050
2580,4,3,1,3,28,12261603
4977,2,1,4,2,18,22910185
3975,6,3,4,2,6,20690880
4458,1,2,4,2,18,20471244
2918,1,4,3,0,18,14188088
901,5,4,3,1,19,6295386
3386,2,2,3,1,20,15388883
822,3,4,1,2,23,4236795
1238,3,3,4,1,6,7109579
4918,3,5,3,1,8,24639449
4447,3,3,1,3,30,20040457
1653,2,4,3,0,25,7952241
614,3,5,1,3,11,4768511
2647,5,4,3,0,21,13356680
4362,1,5,3,1,20,20045287
4303,6,3,4,0,4,21711049
804,3,4,1,0,7,5548358
4903,2,4,4,2,21,23708997
4925,4,5,2,3,20,23566331
4508,5,4,3,0,22,21824528
2279,4,4,2,2,3,12824487
3509,5,3,1,3,8,17639528
1500,4,1,2,0,1,8725013
3232,2,2,2,0,26,14846325
2197,5,2,2,2,24,10741221
523,3,2,2,2,25,2586473
1400,6,1,2,0,11,8378358
2449,5,3,1,1,8,12525444
1538,6,4,1,0,15,8891050
3465,5,5,1,3,16,17474811
855,6,5,3,3,20,5930163
998,4,4,4,0,15,6588006
4133,1,1,3,1,2,19180821
2752,5,5,3,3,19,14740329
2915,4,5,4,0,25,14903369
1437,6,5,2,3,14,9597730
2371,4,3,4,3,13,12984554
1278,3,4,3,2,11,8050914
1750,6,4,1,0,26,8914511
1263,4,1,3,1,17,6346394
3200,6,1,4,2,27,16047660
3964,6,1,3,2,11,19546633
4656,2,2,4,1,27,20915475
3368,5,3,1,2,18,16443144
4015,5,5,1,2,0,20606679
2738,6,3,3,2,0,15061217
1673,5,4,1,1,23,9092428
751,1,5,2,3,13,4605182
3292,2,3,3,2,24,15951137
1195,1,2,2,0,21,4913044
2729,4,4,4,3,13,14316936
2265,5,1,3,3,3,12289505
4486,5,3,1,1,12,22065437
948,1,2,3,1,24,3959901
2593,3,3,1,0,15,12851801
4027,2,2,4,1,16,19107364
3401,1,4,1,3,0,16836587
1137,3,5,4,3,22,6987737
3921,3,1,4,0,30,17685044
1907,5,4,3,0,13,11067006
1367,2,4,4,0,12,7964311
3041,6,3,2,2,24,15060799
1125,5,1,2,2,11,6975212
1709,2,1,2,2,6,8372426
1752,6,1,2,3,14,10075093
4177,6,5,3,2,4,22007624
1059,4,4,3,2,18,6074400
3383,5,1,3,3,14,16512934
966,3,3,1,0,19,5169937
4653,4,4,1,3,29,22287653
2042,3,5,4,1,30,9853879
4190,1,3,1,1,1,19714778
4086,4,5,2,2,11,20999526
2817,4,4,3,0,25,14038032
3241,1,3,1,3,9,15248736
1731,3,1,2,2,9,9127423
3710,2,5,1,2,17,17689976
3190,2,5,1,3,16,15484404
649,3,3,2,1,10,4814202
4483,2,2,2,1,2,21283660
1328,5,5,1,2,28,7729531
1573,5,4,2,1,5,9900228
1856,6,4,1,3,11,11061217
2445,4,5,3,3,7,13662451
2459,3,4,2,2,21,12708637
4109,4,3,4,3,30,19360430
2135,5,2,3,0,20,10961435
3540,5,1,1,2,2,18180185
1813,3,4,2,3,2,10850886
2318,4,3,1,3,1,12546712
4612,3,2,4,0,11,21839445
730,3,1,3,1,4,4275163
2850,4,2,4,3,19,13880506
1149,1,3,2,1,17,6106398
4823,4,1,3,1,9,22831267
891,2,4,4,0,3,6236830
4594,5,5,1,1,22,21973551
2886,4,1,3,1,18,13973802
2034,6,1,3,0,30,10154613
4957,5,5,1,3,27,23899472
856,6,4,3,2,23,5469031
3425,1,3,2,0,24,15522669
3223,2,1,3,2,26,14827520
1934,6,4,4,1,25,10394403
1016,6,4,1,2,6,6767934
2134,1,3,3,3,26,10022408
4378,3,1,2,2,11,21155017
891,6,3,3,0,25,5495396
4079,4,4,4,2,5,20925806
4575,3,5,3,0,23,21732620
1146,4,5,2,2,10,6964581
1155,3,3,3,3,19,6750024
3990,2,4,3,3,1,20317120
3388,5,4,3,0,2,18099787
3827,3,5,2,0,4,19611394
4089,1,2,1,1,24,18327002
3500,3,4,1,1,21,16621778
3538,3,4,1,1,16,16955774
3760,3,3,2,0,0,18991411
2024,4,5,4,0,8,11820609
2632,6,4,2,2,22,14304997
4523,2,1,2,0,14,20434543
4146,1,3,3,0,17,19225507
2878,3,2,2,2,16,13686134
1494,2,2,2,3,0,8201427
3522,4,5,2,0,2,18073314
3761,6,4,4,3,26,19227326
1104,2,3,1,3,14,6131145
4738,3,2,2,1,13,22398290
953,1,5,2,2,5,5508334
3143,6,2,3,2,27,15226190
2552,2,5,3,1,20,12451534
4870,1,5,2,1,5,23555731
3265,5,1,1,0,1,16987123
2668,6,2,4,0,15,14488180
4969,3,3,4,1,25,23657067
3826,3,4,1,0,5,18777959
3904,4,4,2,2,19,18768647
3060,6,3,3,3,4,17017615
3535,5,5,1,2,7,18396631
1503,3,4,2,1,3,8266563
2877,4,5,4,1,30,14753840
1808,3,5,3,1,24,9053082
4581,5,4,4,2,15,22488802
1237,4,5,4,1,6,8278180
3390,1,1,3,3,19,15980199
4355,3,5,1,0,13,20637940
2666,6,3,4,2,1,15067040
919,5,5,2,2,17,6088120
1102,4,5,4,2,26,6812516
1473,2,1,4,2,25,6834056
3495,2,2,4,0,1,16818304
1622,6,3,4,3,4,10534710
4723,2,3,3,1,12,22549947
2951,5,3,4,2,15,15784874
636,3,3,1,3,18,3734623
718,5,4,3,1,23,4484849
4435,2,5,4,1,26,21171293
2484,1,5,1,1,0,12690462
3069,4,2,4,1,13,15486695
4363,6,1,2,1,17,21024339
4418,5,4,3,1,14,22487431
4867,3,5,3,2,19,23509199
2075,2,3,3,1,30,9399571
2867,6,2,4,2,15,15017246
2740,3,1,4,3,26,12891899
1699,3,1,3,0,11,9114394
4123,6,3,4,1,6,21721670
4912,3,5,3,1,3,24549584
2460,2,1,2,1,1,11825065
3885,3,4,1,1,0,19509586
1793,4,4,4,1,24,9369698
3131,3,1,1,1,17,14864068
805,2,4,2,0,26,3938778
4558,2,3,1,0,9,21506551
1379,3,3,4,3,28,7689652
1599,5,4,3,1,25,8413618
3208,2,4,3,1,0,16658399
3261,3,5,2,1,19,16422234
3821,4,5,3,0,12,19446265
1281,2,2,4,2,29,5874596
555,3,4,2,3,24,3377463
3200,3,5,1,2,20,15527017
2435,1,1,4,2,5,11932610
4616,6,3,1,2,11,23116481
2309,2,2,4,1,14,11674556
3560,4,5,4,1,24,17479486
1170,5,4,3,0,29,6656573
1419,1,5,2,1,5,7679556
4762,4,1,2,3,2,23771553
4680,4,1,4,1,16,22295604
4242,5,1,4,2,23,19961827
3743,3,1,2,0,1,18137778
3322,6,1,1,0,29,15644002
759,3,4,2,1,24,4488187
3943,3,4,4,3,12,19327648
4917,2,3,1,1,17,22638651
4832,2,2,1,0,9,22429494
4960,4,5,4,1,7,24853000
3335,2,3,2,0,1,16806299
3934,5,1,2,1,2,19308797
775,4,5,1,1,23,4333885
3795,4,2,2,0,4,18805873
2869,2,5,3,2,7,14626922
1673,6,5,2,3,9,10267019
999,5,5,2,3,17,6765196
884,3,4,3,3,13,5434466
2956,4,2,4,1,27,13988290
2963,6,2,4,0,17,15216223
3912,5,5,2,3,7,20121382
2165,3,1,4,2,2,11604154
2060,1,3,4,0,27,8996319
2041,5,5,2,3,6,12396209
3227,3,1,2,1,30,14798993
1461,6,4,2,1,12,9434079
2460,5,3,3,3,14,13279572
3443,3,3,3,3,14,16646898
4346,3,2,3,2,13,20404936
2312,6,2,1,2,17,12584165
3920,3,2,2,2,7,18988290
2513,4,5,3,2,24,13320001
4502,6,4,4,1,23,22742592
3385,2,2,4,1,29,15915066
4941,6,1,1,0,30,23242230
897,1,4,2,1,2,5678021
1737,1,2,4,2,1,9414347
4458,6,4,1,0,17,22039440
3869,1,1,3,2,0,18587111
4027,2,1,1,1,7,18522755
4812,3,3,3,3,2,23695172
3826,4,5,2,1,9,19584269
1160,6,1,1,3,12,6965490
4399,1,1,2,0,15,20231892
4054,6,3,1,0,7,20164686
4395,3,1,1,2,28,19896908
769,2,3,1,1,18,3661695
3762,1,3,2,1,18,17704194
3687,6,5,3,3,24,19217179
1646,6,1,3,0,3,9665320
2401,1,3,4,2,0,12669426
2739,4,4,2,2,17,14462359
3575,4,2,4,0,24,17236165
2919,2,1,1,2,4,13983958
1763,6,4,3,2,3,10629466
542,3,4,3,2,3,4277943
1215,2,4,4,3,3,7145037
1234,3,5,1,2,27,6356951
601,3,4,4,0,23,4299409
2488,5,5,2,3,5,13691584
2702,3,3,4,1,2,13934329
4060,3,4,3,3,25,19050657
3458,3,2,4,1,14,16473168
1609,3,1,4,2,26,7990818
3612,3,4,3,3,26,17767539
1615,3,3,2,3,10,8553766
3762,3,3,4,1,10,18523322
2796,4,3,1,1,18,13804133
1973,6,5,1,3,30,10871276
2217,4,3,1,3,21,11200057
1640,6,3,2,2,21,8891630
3966,4,1,4,3,18,19167274
4877,5,4,1,2,22,23935501
4898,5,1,1,1,21,23137982
3408,2,5,1,3,30,16175245
3216,4,1,1,0,8,15354785
4683,6,5,2,3,11,23833633
4293,6,5,2,2,0,22624722
1356,3,4,1,0,26,7138370
1660,3,3,3,3,25,8186916
4768,4,3,4,0,14,23413065
4206,3,1,3,0,25,19472305
1442,1,3,1,1,29,6465459
2498,5,2,2,2,17,12738080
4285,2,4,2,1,20,20271737
4040,4,1,2,3,18,19230418
3685,1,2,2,2,24,16820445
1012,5,1,2,2,10,5960647
4248,1,3,4,2,19,19773517
3715,5,1,3,2,27,17697601
1913,6,3,1,1,10,10382086
2454,3,1,2,2,22,11191225
4684,4,4,2,3,13,22722776
4486,6,5,2,1,15,22439865
1649,2,3,4,0,27,7746979
578,4,2,2,3,30,3389861
4640,6,4,4,3,13,23974638
4136,4,2,1,0,25,19410025
2306,3,1,3,1,17,10979692
1877,4,5,4,0,18,9966254
2694,5,3,1,3,17,13552157
3982,1,2,3,0,14,18144581
3355,1,4,1,1,6,16497583
3372,6,5,4,1,19,17369998
2192,2,1,3,2,19,10428939
1879,3,3,3,2,30,9505195
4714,6,1,2,3,29,21925165
2771,6,2,2,1,4,15115451
3138,2,4,4,1,18,15484121
2701,6,4,4,3,2,15718906
1262,4,5,3,2,14,8325413
4498,3,5,1,0,23,21121718
3434,1,5,4,1,30,15903513
2235,4,3,3,2,10,12081396
1569,5,4,3,0,1,9364911
4264,1,1,2,3,14,19088708
4004,2,2,3,1,27,18696033
2744,1,3,3,0,11,13344787
1855,1,4,3,1,13,9534826
1247,6,1,1,1,15,6693224
1587,5,2,4,0,0,9870886
3314,1,4,2,3,2,16253068
3638,1,1,1,2,11,17094783
2951,2,4,2,1,2,15035778
569,5,2,4,2,23,3833904
1740,4,5,4,1,2,11070145
1323,2,1,4,2,30,6003746
3076,2,2,3,0,7,15022278
2834,6,1,3,1,16,14639408
4674,2,4,3,0,25,22074529
2460,4,4,1,1,15,12739077
1081,5,1,3,2,4,6920129
3947,3,5,2,3,30,19069288
1097,1,5,1,0,8,5712722
826,1,4,3,3,13,5152901
3795,1,5,2,2,2,18602460
1147,5,2,2,2,12,7076423
1041,3,4,2,0,7,5924900
4059,1,4,1,2,21,18943222
1938,1,1,2,0,5,9291526
3340,5,5,3,1,11,17163096
2701,6,1,1,2,25,13204679
2728,5,1,3,0,15,13653309
4684,3,1,4,1,11,21992951
2589,1,5,1,1,23,12084041
521,1,1,2,0,15,2276157
3637,2,2,1,3,7,17303933
2533,4,3,3,0,18,12639417
1478,5,1,2,1,25,7541828
876,4,1,4,2,24,5327885
3045,3,1,4,0,11,14562918
2888,5,3,2,3,11,15266432
4541,2,5,2,1,0,22912189
3859,1,2,3,0,30,16866791
511,6,4,3,0,6,5105050
2451,4,4,1,1,22,11972918
1262,1,2,4,2,14,6763229
1195,5,1,2,3,2,7698147
1010,4,2,2,2,8,6637247
3080,4,3,3,3,8,15754959
1111,2,2,1,1,3,5771859
4182,4,3,4,0,17,20244691
2200,4,3,4,2,27,10775738
1240,2,3,1,1,26,6128182
3185,2,1,2,2,12,15070901
901,6,3,3,1,0,7502845
3812,4,5,2,0,14,18560857
1645,1,1,1,1,4,7660257
3781,3,1,3,0,0,18132103
2119,6,4,2,0,28,11423932
3216,1,1,4,0,5,15791022
4048,6,4,4,0,12,21032400
3995,2,3,2,1,8,18970948
4153,2,1,2,2,15,19170505
4424,1,1,3,3,4,20897599
2133,6,5,2,0,12,12418398
3441,4,5,4,2,29,17127628
4615,3,4,3,1,0,22851867
2294,1,3,1,3,16,10747795
2406,2,1,2,1,8,11686614
958,2,5,4,2,29,5640988
1923,2,2,3,2,29,8973798
731,6,3,2,1,26,5139267
4532,5,3,2,3,1,22638641
960,2,5,2,0,16,5421207
505,3,5,2,1,10,4324263
1953,3,1,1,1,18,9477427
1660,1,5,3,0,11,8908761
3740,5,1,3,2,10,18323079
1790,6,4,4,2,5,11446535
3423,2,5,2,3,9,17423149
2912,2,2,1,3,27,13512274
765,2,5,3,1,20,4685522
1352,4,2,3,0,7,7647656
3117,2,1,3,3,0,15354595
2217,2,1,3,2,25,9789782
510,1,4,4,3,5,4472519
3891,4,4,3,3,3,20478567
4427,5,2,2,3,2,22659516
773,3,1,3,2,30,3338312
1107,3,2,4,1,23,5410145
4981,1,3,4,0,13,23752722
1851,5,4,2,0,3,10626677
2183,2,4,3,2,9,11172587
1285,1,4,4,1,1,7410856
531,4,1,3,3,6,3841198
710,2,2,3,0,15,4279756
1446,3,4,4,3,28,7900150
2670,1,5,4,1,11,13893506
3624,3,2,4,0,8,17769101
4309,3,2,3,0,4,21229275
1292,1,3,4,1,17,6127946
3671,5,4,4,1,15,18582869
1146,4,1,2,0,30,5650969
4178,2,2,2,1,4,19545748
3968,1,4,2,1,26,18179952
2612,3,1,1,3,17,12370656
3171,3,5,4,0,25,15753935
4780,4,1,4,1,4,23504116
1320,1,5,1,2,27,6301652
3316,4,3,4,3,18,16860543
4375,1,2,3,3,4,21085776
3790,1,4,3,1,1,18936975
4392,3,3,1,2,26,20646204
2982,3,3,4,0,27,13908030
1600,3,4,3,2,23,8337017
1231,2,4,2,3,23,6397493
4731,3,1,2,0,9,22483537
4651,4,2,1,1,6,22897193
2144,1,2,1,3,1,11210625
3452,6,2,3,2,26,17070768
4637,4,1,1,1,11,21979030
4154,2,4,3,2,5,20871343
2618,6,1,3,0,12,13183062
1834,5,2,2,1,21,9219773
2704,6,4,1,0,15,14623793
1583,6,2,1,1,8,9311394
3002,6,3,4,3,27,15324648
4260,3,2,4,2,21,20265928
3753,5,1,1,2,17,18267287
2815,3,1,4,0,10,13657413
3163,3,3,3,1,4,16125921
2468,1,5,4,2,21,11802726
708,6,4,3,2,29,4924897
3814,4,1,2,2,23,18161021
2321,6,5,4,2,16,13059277
1892,6,5,2,2,3,11657649
1548,6,3,2,2,20,8459637
2320,3,2,3,3,25,11669922
3214,3,3,3,3,27,14986502
4354,1,5,1,3,28,19646993
4599,1,4,3,3,1,22908651
1735,2,2,3,3,18,9093715
4248,2,3,2,0,15,19714787
1948,3,1,1,3,8,9635553
1881,5,2,4,0,4,10908828
4052,6,4,4,3,30,20234590
3640,1,1,2,2,30,15394760
3139,5,2,1,0,20,15444738
2538,2,3,3,1,3,12923181
4623,5,3,2,0,26,21451439
2942,3,4,3,3,28,14509141
1596,3,4,3,1,5,9676138
3804,1,2,2,1,6,18187735
679,5,5,2,0,11,5551152
806,4,3,1,0,21,4140365
661,1,1,4,3,12,3404098
4983,3,4,2,1,22,23642550
576,3,4,1,2,19,3827053
1623,4,1,1,2,3,9226380
1370,4,2,2,2,26,7013558
2152,3,4,3,1,1,11958765
4566,2,4,3,1,0,22010368
1229,1,5,4,1,30,5624958
4691,1,1,3,1,14,21269901
2663,4,1,1,1,27,11824860
2880,3,3,4,0,3,15302596
875,1,2,2,2,11,5025480
4085,5,3,1,2,26,19391870
1998,1,4,4,3,8,10967303
3659,6,4,4,1,3,19254448
980,2,1,4,3,25,4956580
4089,2,5,4,2,19,19380716
1570,4,4,1,3,14,8363205
1018,3,3,1,1,30,5033382
3271,5,5,1,3,21,16881449
2536,4,3,4,1,26,12978582
947,1,2,4,3,27,4184938
1113,4,3,2,2,8,6461296
4652,2,5,4,3,26,21880415
1145,4,4,4,0,27,6425169
4162,3,1,4,0,3,20202037
3877,1,5,1,0,25,17780053
2995,5,5,2,3,30,14934911
3476,1,2,4,2,17,16596694
4375,6,3,4,0,3,22833704
2316,1,3,3,2,17,11169341
3562,6,1,1,1,15,17176271
3852,1,3,2,1,3,18959402
3718,2,4,2,2,3,18774928
3895,1,5,1,3,14,18767941
4630,2,4,1,0,17,22015741
4045,5,4,2,1,23,20107345
1551,1,4,3,3,13,8318076
2533,3,4,3,2,14,13392390
1592,2,4,3,2,22,8386610
2280,2,2,3,2,29,10665034
1586,6,2,3,0,24,8456348
4435,5,5,4,2,28,22245959
3960,1,5,1,0,12,18322386
934,6,1,2,2,24,5826690
1818,3,3,2,0,22,9203458
2917,2,5,1,2,26,13751079
1339,5,5,2,3,7,8811240
2856,6,1,4,3,13,15428394
3061,5,1,1,2,6,15675206
4129,2,3,2,1,9,19701116
1953,6,1,2,1,23,10077307
1477,4,1,4,2,17,7773575
1565,2,5,3,0,10,8581483
1768,1,2,3,0,24,8383673
2967,4,5,3,0,25,14993557
3103,5,2,2,0,25,14943178
1805,4,5,4,0,11,10104442
2247,6,3,3,2,9,12440556
4845,4,5,1,0,21,22965314
4150,2,5,2,0,21,19953681
3129,4,1,4,2,17,15689643
2816,1,5,3,3,15,13517981
2928,6,2,3,0,30,13926617
1871,5,5,1,0,6,10972397
2246,6,4,1,1,17,12476005
4065,6,1,2,0,14,20144190
3217,1,1,1,0,5,15209294
2563,5,1,2,2,13,12990381
4195,6,4,4,2,0,22185922
1469,5,1,1,0,22,7749955
1094,3,5,1,2,25,6142195
2968,5,1,3,3,12,15120306
752,4,2,2,1,23,4143985
4970,3,2,3,2,30,23310586
591,5,5,2,0,1,4914774
3728,5,5,1,2,6,19610645
3316,2,4,2,1,5,16203512
2570,2,1,2,0,27,11602524
4996,4,5,1,2,21,23552634
2553,1,2,4,2,11,12072943
2421,1,3,1,1,10,11553962
4191,3,5,3,1,18,20503897
3485,3,4,2,0,10,16940633
2314,6,4,3,2,4,13675591
3216,4,4,4,2,24,15892310
4489,5,1,2,0,26,20694747
1646,5,2,3,0,23,8186062
652,5,1,4,1,29,3422436
2634,5,5,4,1,11,14414564
2329,5,3,2,3,16,12415705
1241,4,3,1,1,27,6630218
1858,5,2,4,1,5,10804868
1697,6,4,3,0,7,10634961
4494,2,1,3,2,7,20867887
2193,5,3,4,3,29,11395228
880,1,3,1,2,26,4187948
2657,5,5,2,3,20,13953405
3492,5,1,3,3,29,16447726
4730,4,3,3,3,25,22590529
554,5,2,4,1,7,4323832
4715,6,3,2,1,5,23432501
3467,5,1,2,3,25,16497765
1428,4,4,4,1,18,7895078
3866,1,2,1,1,18,17568121
1819,2,5,1,1,1,9659921
2615,2,5,4,0,28,12822000
2822,1,2,4,3,27,12954065
1897,2,4,2,1,19,9578191
4684,3,2,3,3,19,22297284
1063,2,4,4,1,3,6250867
2157,5,5,4,1,19,11557476
1953,4,5,1,0,2,11044166
1567,5,5,1,3,16,9142619
3534,1,5,4,1,30,16744272
4449,4,3,1,3,4,21837381
4408,2,1,3,3,8,20684202
544,6,1,1,0,12,4184341
2182,6,3,4,2,3,12531297
3990,6,5,3,2,27,20117146
3969,5,3,3,3,24,19224088
3885,5,5,4,1,11,20218752
4462,3,3,3,3,23,20823775
1475,6,2,4,1,3,9112375
4664,4,3,1,1,12,22604764
543,1,2,4,3,2,3510693
2655,2,3,1,0,23,12050495
3782,5,5,3,0,30,18780187
1935,6,4,4,0,6,11999384
4744,3,2,1,1,19,21625715
795,3,2,1,1,2,4816840
3772,3,4,4,1,16,18090112
1062,1,5,3,2,11,6534129
2765,2,5,2,3,29,13116079
538,3,2,4,0,17,3046902
4621,3,3,1,2,28,21308532
2549,6,4,4,3,24,13525590
3282,4,4,1,3,3,16839343
1053,4,2,2,2,13,6058748
4731,5,1,3,1,9,22687027
3768,6,3,1,1,15,18685119
3396,2,5,3,1,30,16214401
2057,4,2,2,1,27,9684797
2193,2,2,2,2,4,11485276
1373,1,1,4,0,24,6477223
4935,1,4,3,2,15,23649248
2750,4,2,3,3,7,14661609
1550,1,5,4,3,30,7742036
766,5,3,4,1,14,5173215
4745,4,3,1,0,21,21973489
3608,5,1,3,2,19,18039706
2627,2,5,3,1,8,13565741
3310,3,2,4,3,6,16734450
3549,3,4,3,3,5,18269666
1574,5,2,1,2,25,7830259
4040,4,2,2,1,15,19774804
579,2,4,4,1,28,3696149
4735,5,3,4,2,8,23896944
890,4,1,2,0,6,5758350
2583,4,1,4,2,8,13301996
3451,5,5,3,2,0,18611262
1493,3,5,2,1,24,7616933
3409,3,5,4,3,28,16322716
3621,5,3,4,1,27,17420215
3263,4,5,4,0,2,17053368
3314,2,3,3,2,22,15443465
3739,3,4,3,3,13,18300945
2006,1,2,2,2,30,9007009
1155,2,2,4,0,3,6214391
4376,5,1,1,3,16,21344156
1181,1,3,2,0,20,5991342
3693,3,2,2,2,14,17875412
1535,2,5,2,0,1,8953281
3423,3,4,4,2,17,17019953
1606,6,5,2,3,20,9912290
4063,5,5,3,2,15,20749383
2360,1,4,3,2,13,11492427
1775,3,1,1,1,11,8588192
4343,5,1,4,3,9,21203076
4026,3,5,2,0,17,19358794
2044,4,5,4,3,7,11619200
3692,4,2,3,0,13,18169698
2462,5,5,3,2,20,13508015
4857,3,4,2,0,5,23249760
2872,1,4,4,2,22,13877004
4530,2,3,1,1,1,21845957
681,2,1,3,2,4,4564437
4091,6,1,2,0,4,20024940
4543,2,3,4,2,25,21531797
4582,3,4,1,2,2,22953522
1696,1,3,4,0,17,8274984
1987,2,3,4,0,3,10896959
2539,4,4,2,0,6,13408720
1269,5,2,4,3,21,7287770
3146,2,1,1,2,15,14726536
2947,2,3,1,1,3,14308928
4056,3,1,2,2,18,18577461
3742,2,1,1,3,22,17114173
1769,3,1,2,1,15,8306341
3272,6,1,1,2,20,15735395
4893,1,2,4,1,10,23003972
3345,4,2,1,3,11,16812087
1603,3,1,4,3,17,8172530
4946,6,4,2,1,17,24271552
3151,6,4,3,1,2,17286437
1769,4,3,3,2,14,9211254
4644,4,2,1,2,24,21798324
